label,message,char_count,word_count,avg_word_length,message_length
0,glad to see your reply,23,5,4.4,22
0,we're all getting worried over here derek and taylor have already assumed the worst,84,14,5.928571428571429,83
0,no my mum went dentist,25,5,4.4,22
0,how come u got nothing to do,29,7,4.0,28
0,party's at my place at usf no charge but if you can contribute in any way it is greatly appreciated and yeah we got room for one more,137,28,4.75,133
0,good afternoon my love how goes that day i hope maybe you got some leads on a job i think of you boytoy and send you a passionate kiss from across the sea,160,33,4.666666666666667,154
0,tell where you reached,22,4,5.5,22
0,i am back good journey let me know if you need any of the receipts shall i tell you like the pendent,104,22,4.545454545454546,100
0,haven't eaten all day i'm sitting here staring at this juicy pizza and i can't eat it these meds are ruining my life,119,23,5.043478260869565,116
0,we spend our days waiting for the ideal path to appear in front of us but what we forget is paths are made by walking not by waiting goodnight,153,29,4.896551724137931,142
0,wot u up thout u were gonna call me txt bak luv k,54,13,3.769230769230769,49
0,you lifted my hopes with the offer of money i am in need especially when the end of the month approaches and it hurts my studying anyways have a gr weekend,159,31,5.0,155
0,i know grumpy old people my mom was like you better not be lying then again i am always the one to play jokes,115,24,4.541666666666667,109
0,ok,5,1,2.0,2
0,alright if you're sure let me know when you're leaving,55,10,5.4,54
0,what time you think you'll have it need to know when i should be near campus,77,16,4.75,76
0,kkfrom tomorrow onwards started ah,40,5,6.8,34
0,kkwhere are youhow did you performed,42,6,6.0,36
0,ok can be later showing around - if you want cld have drink before wld prefer not to spend money on nosh if you don't mind as doing that nxt wk,154,31,4.612903225806452,143
0,it certainly puts things into perspective when something like this happens,74,11,6.7272727272727275,74
0,whenwhere do i pick you up,27,6,4.333333333333333,26
1,for your chance to win a free bluetooth headset then simply reply back with adp,81,15,5.266666666666667,79
0,now whats your house again and do you have any beer there,64,12,4.75,57
0,thank you princess you are so sexy,38,7,4.857142857142857,34
1,join the uk's horniest dogging service and u can have sex nite just sign up and follow the instructions txt entry to now,153,23,5.217391304347826,120
0,so lets make it saturday or monday as per convenience,54,10,5.3,53
1,ur cash-balance is currently pounds - to maximize ur cash-in now send go to only pmsg cc po box tcrw,137,20,5.0,100
0,marrow only wed at ltgt to aha,42,7,4.285714285714286,30
0,yeah do dont stand to close tho- youll catch something,58,10,5.4,54
0,lemme know when you're here,27,5,5.4,27
0,hey are you going to quit soon xuhui and i working till end of the month,77,16,4.5,72
1,bank of granite issues strong-buy explosive pick for our members up over nasdaq symbol cdgt that is a per,137,19,5.526315789473684,105
0,hmmmhow many players selected,32,4,7.25,29
0,moon has come to color your dreams stars to make them musical and my sms to give you warm and peaceful sleep good night,121,24,4.958333333333333,119
0,haven't left yet so probably gonna be here til dinner,53,10,5.3,53
0,'wnevr i wana fal in luv vth my books my bed fals in luv vth me'' yen madodu nav pretsorginta nammanna pretsovru important alwa gud eveb-,155,26,5.269230769230769,137
0,babe i love you covers your face in kisses,54,9,4.666666666666667,42
0,well i will watch shrek in db,33,7,4.142857142857143,29
0,i can call in ltgt min if thats ok,41,9,3.7777777777777777,34
0,let me know if you need anything else salad or desert or something how many beers shall i get,98,19,4.894736842105263,93
0,at what time are you coming,28,6,4.5,27
0,have you emigrated or something ok maybe was a bit hopeful,67,11,5.2727272727272725,58
0,i'm gonna say no sorry i would but as normal am starting to panic about time sorry again are you seeing on tuesday,119,23,4.956521739130435,114
0,kate jackson rec center before ish right,43,7,5.714285714285714,40
0,you are not bothering me but you have to trust my answers pls,63,13,4.6923076923076925,61
0,fuuuuck i need to stop sleepin sup,35,7,4.857142857142857,34
0,no de but call me after some time ill tell you k,50,12,4.0,48
0,no prob i will send to your email,35,8,4.125,33
0,ugh just got outta class,24,5,4.8,24
0,smith waste dai wanna gayle,29,5,5.4,27
0,under the sea there lays a rock in the rock there is an envelope in the envelope there is a paper on the paper there are words ',140,28,4.571428571428571,128
0,going to join tomorrow,23,4,5.5,22
0,hi juan im coming home on fri hey of course i expect a welcome party and lots of presents ill phone u when i get back loads of love nicky x x x x x x x x x,159,39,3.9743589743589745,155
0,haha sounds crazy dunno can tahan anot,45,7,5.428571428571429,38
0,the beauty of life is in next second which hides thousands of secrets i wish every second will be wonderful in ur life gud n,133,25,4.96,124
0,hey morning what you come to ask- pa,41,8,4.5,36
0,yes i started to send requests to make it but pain came back so i'm back in bed double coins at the factory too i gotta cash in all my nitros,144,31,4.548387096774194,141
0,o was not into fps then,24,6,3.8333333333333335,23
0,how would my ip address test that considering my computer isn't a minecraft server,82,14,5.857142857142857,82
0,ill get there tomorrow and send it to you,42,9,4.555555555555555,41
1,tfp,13,1,3.0,3
0,ok then no need to tell me anything i am going to sleep good night,66,15,4.4,66
0,the message sent is askin for ltgt dollars shoul i pay ltgt or ltgt,89,14,4.785714285714286,67
1,eerie nokia tones u rply tone title to eg tone dracula to titles ghost addamsfa munsters exorcist twilight poboxwwq p,161,20,5.85,117
0,is ur paper today in e morn or aft,35,9,3.7777777777777777,34
0,when i was born god said oh no another idiot when you were born god said oh no competition who knew one day these two will become freinds forever,159,29,5.0,145
0,here is my new address -applespairsall that malarky,53,8,6.375,51
